LISTE CHRONOLOGIQUE;;;
;;;
DES AMBASSADEURS, ENVOYÉS EXTRAORDINAIRES,;;;
;;;
MINISTRES PLÉNIPOTENTIAIRES;;;
;;;
ET CHARGÉS D'AFFAIRES DE FRANCE À L'ÉTRANGER;;;
;;;
DEPUIS 1945;;;
;;mise à jour : 25/02/2011;
;;;

AFGHANISTAN;;;

MM.;Serres, envoyé extraordinaire et ministre plénipotentiaire;29 mars 1945.;
;Henriot, envoyé extraordinaire et ministre plénipotentiaire;12 octobre 1945.;
;Roux (Henri), envoyé extraordinaire et ministre plénipotentiaire;19 novembre 1947.
;Le même, ambassadeur;12 mai 1949.
;Berthelot (Marcel), ambassadeur;23 septembre 1950.
;Bréal, ambassadeur;17 juillet 1952.
;Brière, ambassadeur;13 mai 1954.
;Belle, ambassadeur;15 avril 1957.
;D'Andurain de Maytie, ambassadeur ;5 novembre 1959.
;Cattand, ambassadeur;15 janvier 1963.
;Nègre, ambassadeur;21 août 1967.
;Wernert, ambassadeur ;7 janvier 1971.
;Perruche, ambassadeur;14 novembre 1975.
;Berthod, chargé d'affaires a.i. ;4 janvier 1980.
;Barraux, chargé d'affaires a.i.;26 novembre 1981.
;Lambert, chargé d'affaires a.i.;10 juin 1985.
;Bernadac, chargé d'affaires a.i.;17 juin 1990.
;Leroy (Didier), chargé d'affaires;1er novembre 1993.
;Berthault, chargé d'affaires a.i.;22 janvier 1998.
;Schuh, chargé d'affaires a.i.;1er juillet 2001.
;Guinhut, ambassadeur;14 mars 2002.
;Koetschet, ambassadeur;3 septembre 2005.
;De Ponton d’Amecourt, ambassadeur;10 mai 2008.
;Bajolet, ambassadeur;9 février 2011.
AFRIQUE  DU  SUD;;

MM.;Lancial, envoyé extraordinaire et ministre plénipotentiaire ;13 décembre 1944.
;Gazel, ambassadeur;29 juin 1949.
;Chancel, ambassadeur;13 août 1956.
;Balay, ambassadeur;12 mai 1958.
;De Luze, ambassadeur;24 avril 1968.
;Legendre (Michel), ambassadeur;16 mai 1972.
;Schricke (Jacques), ambassadeur;21 avril 1975.
;Dorin, ambassadeur;7 juin 1978.
;Plaisant, ambassadeur ;7 décembre 1981.
;Boyer, ambassadeur;25 avril 1984.
;Dupont, ambassadeur;24 février 1988.
Mme ;Bourgois, ambassadrice;15 janvier 1991.
MM.;D'Albis, ambassadeur;28 octobre 1995.
;Cadet, ambassadeur;19 octobre 2001.
;Félix-Paganon, ambassadeur;25 septembre 2003.
;Pietton, ambassadeur;7 novembre 2006.
;Lapouge, ambassadeur;19 novembre 2009.

ALBANIE;;

MM.;Georges-Picot (Guillaume), envoyé extraordinaire et plénipotentiaire;25 février 1946.
;Menant, envoyé extraordinaire et ministre plénipotentiaire;19 août 1946.
;Chartier, envoyé extraordinaire et ministre plénipotentiaire;20 décembre 1948.
;Cassin, envoyé extraordinaire et ministre plénipotentiaire;15 juin 1950.
;Chassaing de Bourdeille, envoyé extraordinaire et ministre plénipotentiaire;17 novembre 1953.
;Keller, envoyé extraordinaire et ministre plénipotentiaire ;5 octobre 1956.
;Aurillac, envoyé extraordinaire et ministre plénipotentiaire;26 juin 1961.
;Gorce, envoyé extraordinaire et ministre plénipotentiaire;27 mai 1963.
;Le même, ambassadeur;28 octobre 1964.
;Pinauldt, ambassadeur;22 décembre 1966.
;Vanthier, ambassadeur ;7 mars 1969.
;Millot (André), ambassadeur;26 juillet 1972.
;Desbans, ambassadeur;11 décembre 1974.
;Bouquin, ambassadeur;9 décembre 1977.
;Lecomte, ambassadeur;28 novembre 1978.
;Martin (Marcel), ambassadeur;16 décembre 1981.
;Legrain, ambassadeur;30 avril 1985.
;Boulmer, ambassadeur;7 avril 1989.
;Faure (Jacques), ambassadeur;20 mai 1992.
;Dominici, ambassadeur;17 mai 1994.
;Chrismant, ambassadeur;26 juin 1996.
;Menachemoff, ambassadeur;15 mars 2001.
Mme;Bourolleau, ambassadrice;24 septembre 2004.
Mlle;Daviet, ambassadrice;1er février 2008.

ALGÉRIE;;

MM.;Jeanneney, ambassadeur, haut représentant ;5 juillet 1962.
;Gorse, ambassadeur, haut représentant;18 janvier 1963.
;De Leusse, ambassadeur, haut représentant;17 mai 1967.
;Basdevant (Jean), ambassadeur, haut représentant;16 novembre 1968.
;Soutou, ambassadeur, haut représentant;15 novembre 1971.
;De Commines de Marsilly, ambassadeur, haut représentant;14 avril 1975.
;Merillon, ambassadeur, haut représentant;27 août 1979.
;Georgy, ambassadeur, haut représentant;23 décembre 1981.
;Scheer, ambassadeur, haut représentant;11 janvier 1984.
;Bochet (Bernard), ambassadeur, haut représentant;25 février 1986.
;Audibert, ambassadeur, haut représentant;22 décembre 1988.
;Kessedjian, ambassadeur, haut représentant ;5 août 1992.
;Lévêque, ambassadeur, haut représentant;29 décembre 1994.
MM.;Siefer -Gaillardin, ambassadeur, haut représentant;29 janvier 1997.
;Colin de Verdière, ambassadeur, haut représentant;10 avril 2000.
;Bernard (Daniel), ambassadeur, haut représentant;30 août 2002.
;Colin de Verdière, ambassadeur, haut représentant;21 juillet 2004.
;Bajolet, ambassadeur, haut représentant;21 novembre 2006.
;Driencourt, ambassadeur, haut représentant;2 octobre 2008.

RÉPUBLIQUE  FÉDÉRALE  D'ALLEMAGNE;;

MM.;François-Poncet, ambassadeur;1er août 1955.
;Joxe (Louis), ambassadeur;28 décembre 1955.
;Couve de Murville, ambassadeur;7 juillet 1956.
;Seydoux de Clausonne (François), ambassadeur;1er août 1958.
;Jacquin de Margerie (Roland), ambassadeur;19 juillet 1962.
;Seydoux de Clausonne (François), ambassadeur;5 février 1965.
;Sauvagnargues, ambassadeur;2 avril 1970.
;Wormser, ambassadeur;1er juillet 1974.
;Brunet, ambassadeur;13 juillet 1977.
;Froment-Meurice, ambassadeur;18 décembre 1981.
;Morizet, ambassadeur;28 avril 1983.
;Boidevaix, ambassadeur;6 mars 1986.
;Dufourcq, ambassadeur;18 mai 1992.
;Scheer, ambassadeur;24 novembre 1993.
;Martin (Claude), ambassadeur;2 avril 1999.
;De Faubournet de Montferrand, ambassadeur;30 septembre 2007.
;Gourdault-Montagne, ambassadeur;9 février 2011.

RÉPUBLIQUE  DÉMOCRATIQUE  ALLEMANDE;;

MM.;Jessel, chargé d'affaires;15 mars 1973.
;Guillier de Chalvron, ambassadeur;11 mars 1974.
;Bayle (Henry), ambassadeur;1er juin 1976.
;Du Cauzé de Nazelle, ambassadeur;5 janvier 1981.
;Deshors, ambassadeur;9 septembre 1981.
Mme;Timsit, ambassadrice;3 mars 1986.
;;
(Postérieurement voir : République fédérale d' Allemagne);;

