Nom;Adresse;Complément Adresse;Code Postal;Ville;Pays;Courriel;Site Internet;Indicatif téléph;Téléphone;Télécopie;
Institut français d'Afghanistan;Lycée Esteqlal;;;Kaboul;Afghanistan;ifa.accueil@gmail.com;https://institutfrancaisdafghanistan.centerblog.net;93;700002446;;
Institut français d'Afrique du Sud;Phenyo House, 73 rue Juta, Braamfontein;- PO Box 542 - Newtown;2113;Johannesburg;Afrique du Sud;ifas@ifas.org.za;;27;118 360 561;118 365 850;
Institut français d'Algérie;7, rue Hassani Issad;;16000;Alger;Algérie;ccf@djazair-connect.com;http://www.ccf-dz.com;213;21 73 78 20, 21;21 73 21 25;
Institut français d'Allemagne;Pariser Platz;;10117;Berlin;Allemagne;info.berlin@institutfrancais.de;http://www.institutfrancais.de;49;308 859 020;030 886 279 75;
Centre pour les études en France de Buenos Aires;1253 Basavilbaso;;;Buenos Aires;Argentine;buenosaires@campusfrance.org;;54;11 4515 6921/42;;
Institut français d'Autriche;Palais Clam Gallas;Währingerstrasse 30;1090;Vienne;Autriche;info@institutfr.at;http://www.ifvienne.org;43;1 50 27 53 00;1 50 27 53 97;
Institut français d'Azerbaïdjan;67, rue Fuzuli;;;Bakou;Azerbaïdjan;ccfbakou@gmail.com;http://www.ifa.az;994;125 963 580;125 963 582;
Institut français du Bénin;Avenue Jean-Paul II;- BP 416;;Cotonou;Bénin;secretariat@ccfcotonou.net ou secretariatccfcotonou@yahoo.fr;http://www.ccfcotonou.net;229;21 30 74 79 / 21 30 08 56;21 30 11 51;
Institut français de Birmanie;340 Pyay Road, Sanchaung Township, Yangon;- PO Box 858;;Rangoun;Birmanie;info@ifb.net.mm;[www.institutfrancais-birmanie.com;951;536 900;537733;
Institut français de Bosnie-Herzégovine;Obala Isa Bega Isakovica 6;;71000;Sarajevo;Bosnie-Herzégovine;instfrbh@bih.net.ba;http://www.ambafrance.ba;387;33 239 845 / 33 239 857;33239829;
Maison de France de Rio de Janeiro ;Avenida Pdt. Antonio Carlos, 58;;;Rio de Janeiro;Brésil;consulatrio@maisondefrance.org.br;http://www.maisondefrance.org.br;55;21 39 74 66 99;;
Centre de documentation technique et scientifique (CenDoTec) de São Paulo ;CENDOTEC - IPEN;- Av. Prof. Dr. Lineu Prestes 224 Cidade Universitária;;São Paulo SP;Brésil;cendotec@cendotec.org.br;http://www.cendotec.org.br;55;(11) 3818-2888;(11) 3818-2880;
Institut français de Bulgarie;2, rue Diakon Ignatii;- BP 673;1000;Sofia;Bulgarie;ccc@institutfrance.bg;http://www.institutfrance.bg/;359;2 93 779 22;2 980 94 98;
Institut français du Burkina Faso;;01 BP 561;1;Ouagadougou;Burkina Faso;ccfgm@ccfouaga.com;http://www.ccfouaga.com;226;50 30 60 97/98 99;50 31 76 98;
Institut français du Burundi;;BP 460;460;Bujumbura;Burundi;ccfbuja@bi.refer.org;;257;22 22 23 51;22 22 53 50;
